structure,use_rank,path_compression,n,m,workload,trial,runtime,pointer_updates
tree,False,True,10000,100000,adversarial,3,0.09577947899992978,9999
tree,True,True,10000,100000,adversarial,1,0.08656925200011756,9999
tree,True,True,10000,100000,adversarial,2,0.09758358099998077,9999
tree,True,True,10000,100000,adversarial,3,0.1197156719999839,9999
list,False,False,10000,100000,batched_finds,1,0.07743382399985421,19692
list,False,False,10000,100000,batched_finds,2,0.08869678299993211,19597
list,False,False,10000,100000,batched_finds,3,0.07782535100000132,20226
tree,False,True,10000,100000,batched_finds,1,0.09678356899985374,16977
tree,False,True,10000,100000,batched_finds,2,0.10634574800019436,17146
tree,False,True,10000,100000,batched_finds,3,0.0840017389998593,17061
tree,True,True,10000,100000,batched_finds,1,0.09554812199985463,17234
tree,True,True,10000,100000,batched_finds,2,0.09413923800002522,17148
tree,True,True,10000,100000,batched_finds,3,0.08591942599991853,17218
list,False,False,10000,100000,gnp,1,0.11718175400005748,19427
list,False,False,10000,100000,gnp,2,0.05339681800001017,19764
list,False,False,10000,100000,gnp,3,0.07162773499999275,20048
tree,False,True,10000,100000,gnp,1,0.08881255599999349,17184
tree,False,True,10000,100000,gnp,2,0.15985126299983676,17036
tree,False,True,10000,100000,gnp,3,0.09021493199998076,17198
tree,True,True,10000,100000,gnp,1,0.10436130499988394,17267
tree,True,True,10000,100000,gnp,2,0.11535802299999887,17508
tree,True,True,10000,100000,gnp,3,0.0933802370000194,17331
list,False,False,50000,50000,random_50_50,1,0.0834816359999877,37480
list,False,False,50000,50000,random_50_50,2,0.1400784070001464,37852
list,False,False,50000,50000,random_50_50,3,0.09423838399993656,36536
tree,False,True,50000,50000,random_50_50,1,0.07314803100007339,29966
tree,False,True,50000,50000,random_50_50,2,0.05718551799986926,30470
tree,False,True,50000,50000,random_50_50,3,0.05950937900001918,30190
tree,True,True,50000,50000,random_50_50,1,0.07386829100005343,30937
tree,True,True,50000,50000,random_50_50,2,0.08231290000003355,31035
tree,True,True,50000,50000,random_50_50,3,0.06851892700001372,31196
list,False,False,50000,50000,adversarial,1,0.07228392199999689,49999
list,False,False,50000,50000,adversarial,2,0.06932028300002457,49999
list,False,False,50000,50000,adversarial,3,0.10005831100011164,49999
tree,False,True,50000,50000,adversarial,1,0.07976768499997888,49999
tree,False,True,50000,50000,adversarial,2,0.0845908909998343,49999
tree,False,True,50000,50000,adversarial,3,0.07545975700008967,49999
tree,True,True,50000,50000,adversarial,1,0.0799774750000779,49999
tree,True,True,50000,50000,adversarial,2,0.07543319299998075,49999
tree,True,True,50000,50000,adversarial,3,0.07536480899989328,49999
list,False,False,50000,50000,batched_finds,1,0.14804254999990007,91288
list,False,False,50000,50000,batched_finds,2,0.18424513800005116,91560
list,False,False,50000,50000,batched_finds,3,0.18986829199980093,91143
tree,False,True,50000,50000,batched_finds,1,0.11579481299986583,70286
tree,False,True,50000,50000,batched_finds,2,0.20732514699989224,70253
tree,False,True,50000,50000,batched_finds,3,0.13742818800005807,70125
tree,True,True,50000,50000,batched_finds,1,0.14679147799984094,71063
tree,True,True,50000,50000,batched_finds,2,0.0925342109999292,71261
tree,True,True,50000,50000,batched_finds,3,0.12821190700014995,71268
list,False,False,50000,50000,gnp,1,0.13858751900011157,90306
list,False,False,50000,50000,gnp,2,0.1492357820000052,89223
list,False,False,50000,50000,gnp,3,0.1442684339999687,90344
tree,False,True,50000,50000,gnp,1,0.13909374599984403,69782
tree,False,True,50000,50000,gnp,2,0.16812368000000788,70355
tree,False,True,50000,50000,gnp,3,0.1518364470000506,70276
tree,True,True,50000,50000,gnp,1,0.12187033300006078,71283
tree,True,True,50000,50000,gnp,2,0.14102342500018494,71648
tree,True,True,50000,50000,gnp,3,0.20329335800010995,71249
list,False,False,50000,250000,random_50_50,1,0.2325820549999662,100948
list,False,False,50000,250000,random_50_50,2,0.21541428099999393,101085
list,False,False,50000,250000,random_50_50,3,0.2607226459999765,102545
tree,False,True,50000,250000,random_50_50,1,0.3063345969999318,85179
tree,False,True,50000,250000,random_50_50,2,0.22919911600001797,85584
tree,False,True,50000,250000,random_50_50,3,0.20659150500000578,85361
tree,True,True,50000,250000,random_50_50,1,0.1947304880000047,85685
tree,True,True,50000,250000,random_50_50,2,0.218229220000012,85609
tree,True,True,50000,250000,random_50_50,3,0.35447546699992927,86457
list,False,False,50000,250000,adversarial,1,0.28661267400002544,49999
list,False,False,50000,250000,adversarial,2,0.3100056979999408,49999
list,False,False,50000,250000,adversarial,3,0.2005708300000606,49999
tree,False,True,50000,250000,adversarial,1,0.2562794760001452,49999
tree,False,True,50000,250000,adversarial,2,0.383073824000121,49999
tree,False,True,50000,250000,adversarial,3,0.24674672600008307,49999
tree,True,True,50000,250000,adversarial,1,0.2605023479998181,49999
tree,True,True,50000,250000,adversarial,2,0.29391639400000713,49999
tree,True,True,50000,250000,adversarial,3,0.2580406550000589,49999
list,False,False,50000,250000,batched_finds,1,0.2923427509999783,102081
list,False,False,50000,250000,batched_finds,2,0.34200355899997703,104457
list,False,False,50000,250000,batched_finds,3,0.3673001130000557,100988
tree,False,True,50000,250000,batched_finds,1,0.4851286859998254,85554
tree,False,True,50000,250000,batched_finds,2,0.3194492509999236,85287
tree,False,True,50000,250000,batched_finds,3,0.5771993890000431,85680
tree,True,True,50000,250000,batched_finds,1,0.40456043400013186,86444
tree,True,True,50000,250000,batched_finds,2,0.6951821190000373,86513
tree,True,True,50000,250000,batched_finds,3,0.6221355489999496,86413
list,False,False,50000,250000,gnp,1,0.3624913829999059,103363
list,False,False,50000,250000,gnp,2,0.36400734599988027,101731
list,False,False,50000,250000,gnp,3,0.3056121730000996,100829
tree,False,True,50000,250000,gnp,1,0.34003748399982214,85641
tree,False,True,50000,250000,gnp,2,0.7027498209999976,86330
tree,False,True,50000,250000,gnp,3,0.3728232089999892,85994
tree,True,True,50000,250000,gnp,1,0.33187484099994435,86479
tree,True,True,50000,250000,gnp,2,0.5107654109999658,86917
tree,True,True,50000,250000,gnp,3,0.3305097630000091,86337
list,False,False,50000,500000,random_50_50,1,0.26654960299993036,101933
list,False,False,50000,500000,random_50_50,2,0.2971385650000684,100941
list,False,False,50000,500000,random_50_50,3,0.27541629899997133,102764
tree,False,True,50000,500000,random_50_50,1,0.33148454199999833,85765
tree,False,True,50000,500000,random_50_50,2,0.391848957999855,85352
tree,False,True,50000,500000,random_50_50,3,0.31092589500008216,85655
tree,True,True,50000,500000,random_50_50,1,0.30168107000008604,86350
tree,True,True,50000,500000,random_50_50,2,0.5671031320000566,86716
tree,True,True,50000,500000,random_50_50,3,0.409930119000137,86401
list,False,False,50000,500000,adversarial,1,0.3789009550000628,49999
list,False,False,50000,500000,adversarial,2,0.3719581630000448,49999
list,False,False,50000,500000,adversarial,3,0.5377900569999383,49999
tree,False,True,50000,500000,adversarial,1,0.47179203499990763,49999
tree,False,True,50000,500000,adversarial,2,0.4995014070000252,49999
